Price,Close,High,Low,Open,Volume
Ticker,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS
Date,,,,,
2020-01-01,1403.10693359375,1418.5019335181282,1399.0245357744052,1416.5345244563835,268255
2020-01-02,1470.294189453125,1484.6070201623518,1404.7302500544545,1404.7302500544545,2000143
2020-01-03,1461.8831787109375,1480.4752170812028,1457.4073954521493,1470.2938999035443,629443
2020-01-06,1438.66796875,1455.882799145299,1434.388877782251,1455.882799145299,378702
2020-01-07,1454.6041259765625,1474.524146618804,1448.5544379945738,1450.964466533647,365266
2020-01-08,1449.636474609375,1455.4894696204017,1434.2414718317157,1440.1437001108586,190163
2020-01-09,1455.4891357421875,1474.2778674379042,1448.9967101406721,1465.7196864287857,254798
2020-01-10,1461.686767578125,1477.5243884716137,1451.9480674994022,1459.817704721621,364434
2020-01-13,1459.2763671875,1479.4915423443983,1455.3415492557328,1468.9659524093672,374704
2020-01-14,1468.9661865234375,1477.5243688565315,1459.7193388938613,1460.89973642907,308514
2020-01-15,1487.3121337890625,1504.0843453851617,1463.7524564637806,1464.0476158785837,932167
2020-01-16,1565.614990234375,1580.8131771659685,1493.3127073957323,1494.9357238027249,2305288
2020-01-17,1592.22412109375,1597.5361495481266,1554.2531504224382,1569.5498038277142,893254
2020-01-20,1602.995849609375,1631.965901516442,1590.1584567819941,1593.6014228189488,1047368
2020-01-21,1599.7001953125,1615.734626549055,1594.5849799914877,1603.2907407210541,317357
2020-01-22,1607.8160400390625,1636.8845608926574,1599.9956359927328,1616.8661949965256,736367
2020-01-23,1659.411376953125,1672.1995372401484,1604.668189862064,1612.0952079073652,764590
2020-01-24,1641.5078125,1669.8877861800283,1622.2272264206804,1662.4607684424057,1023849
2020-01-27,1668.4122314453125,1685.0859763487113,1634.917041851464,1640.8192694393756,791549
2020-01-28,1650.41015625,1677.0194099010182,1646.524571669011,1668.2644161988328,681671
2020-01-29,1660.4932861328125,1667.3299847464673,1643.8195419851957,1659.5095815794164,230705
2020-01-30,1663.247802734375,1681.8889570627002,1652.8696710657125,1657.5422679635326,634505
2020-01-31,1633.146240234375,1671.559950811589,1629.4573481846217,1671.5107175518103,377299
2020-02-03,1668.21533203125,1689.6109059287246,1589.6665479686992,1589.6665479686992,584886
2020-02-04,1643.8194580078125,1677.1178314229446,1633.9331797187895,1668.2152576370634,384789
2020-02-05,1630.4412841796875,1653.6075775731467,1623.1127322996383,1653.6075775731467,438855
2020-02-06,1618.2431640625,1638.5565662779138,1595.7654197794443,1638.5565662779138,552992
2020-02-07,1636.04833984375,1651.1481815329341,1601.4710989190448,1622.915907366997,554048
