Price,Close,High,Low,Open,Volume
Ticker,BAJAJHLDNG.NS,BAJAJHLDNG.NS,BAJAJHLDNG.NS,BAJAJHLDNG.NS,BAJAJHLDNG.NS
Date,,,,,
2020-01-01,3071.707275390625,3135.7486901658913,3054.696354404245,3101.544735062916,12825
2020-01-02,3160.40087890625,3169.679543088351,3076.119364625819,3079.2577069403133,25577
2020-01-03,3154.3515625,3175.6834507432714,3133.8382949901375,3175.6834507432714,17829
2020-01-06,3138.43212890625,3150.8946631633585,3122.9676152220127,3147.483373380071,17488
2020-01-07,3089.85546875,3166.4504789618636,3074.754958058477,3138.4323722845515,31735
2020-01-08,3110.960205078125,3133.838501821783,3001.935284763972,3001.935284763972,39466
2020-01-09,3109.64111328125,3137.4773303596135,3089.264428501376,3137.4318020720943,74890
2020-01-10,3080.576904296875,3124.7417853017314,3070.16114276371,3118.328515385673,20996
2020-01-13,3089.21875,3111.051006383642,3056.5158937098427,3092.902987682579,86638
2020-01-14,3101.863037109375,3112.733635749702,3083.8058549929956,3094.4945626024846,16111
2020-01-15,3102.135986328125,3116.5544605108803,3068.341563135785,3101.089946258491,46709
2020-01-16,3089.21875,3111.96068373296,3076.0739567201886,3111.0965346689472,7275
2020-01-17,3080.531005859375,3111.0507225625333,3071.0249228440766,3108.0034369738387,45682
2020-01-20,3070.843017578125,3097.4510774949317,3059.2901607671247,3095.1768843396494,21918
2020-01-21,3065.83984375,3077.438229035309,3058.3350062124473,3077.438229035309,44703
2020-01-22,3050.330078125,3083.76072109394,3035.866296941465,3070.161088984279,25284
2020-01-23,3044.14453125,3068.2509836861313,3032.000470540425,3050.3303823307006,41158
2020-01-24,3037.3671875,3056.4248838415842,3027.4062647905994,3044.007876669334,13340
2020-01-27,3004.301025390625,3068.1148137121186,2992.838999959342,3029.226100262799,20718
2020-01-28,2969.6875,3054.8787025261454,2965.5484232736,3009.212939935297,21040
2020-01-29,3108.64013671875,3118.373638956936,2965.5478596848343,2982.8317275787026,119568
2020-01-30,3087.308349609375,3168.224099877757,3053.3318141010745,3124.7414811372537,48165
2020-01-31,3142.29833984375,3183.870548009929,3047.4189530952176,3087.3083915109582,80743
2020-02-03,3275.566162109375,3297.9440910907,3184.7803204949096,3207.203777760404,106272
2020-02-04,3391.59521484375,3429.483182922867,3274.8380526584406,3292.1219201585823,581865
2020-02-05,3516.357666015625,3593.2253992398705,3393.2782807073686,3424.8895674475166,252064
2020-02-06,3442.173583984375,3556.7474024604053,3421.342061384805,3522.27071953207,50109
2020-02-07,3441.30908203125,3497.709072273369,3430.392954887614,3444.038113817159,19035
2020-02-10,3420.38671875,3450.4060702709444,3411.2899455618353,3444.0838573230076,37538
2020-02-11,3483.927978515625,3520.4059079476306,3411.335679676212,3411.335679676212,49094
2020-02-12,3462.6416015625,3517.7226142484437,3434.032290868341,3483.928186632273,30355
2020-02-13,3552.19873046875,3571.393009959067,3412.199485572201,3470.418831633683,155572
2020-02-14,3417.24853515625,3583.9013832869655,3389.457847357633,3553.2453006366486,114918
2020-02-17,3382.407470703125,3429.4832688901447,3347.6123155214145,3425.8445598515345,32564
2020-02-18,3365.35107421875,3392.1865537942203,3347.8853149806864,3382.4075231014644,17582
2020-02-19,3424.025146484375,3461.776752111129,3334.4674662286207,3382.134464979504,65449
2020-02-20,3347.885498046875,3429.483509545817,3329.4190039622517,3420.3867363109475,42410
2020-02-24,3361.348876953125,3402.19330127987,3329.601004070016,3358.165006216633,22169
2020-02-25,3313.272216796875,3411.2899479685034,3297.58028303622,3378.041197524466,34366
2020-02-26,3168.40625,3318.5030146425493,3152.03205749354,3318.5030146425493,53905
2020-02-27,3144.072509765625,3205.3846776122427,3106.821264700674,3170.2257349824818,27827
2020-02-28,3080.7587890625,3120.1933920513666,3048.146988466155,3100.999110629014,21849
2020-03-02,3087.353759765625,3147.483519302425,3070.2520038638877,3147.483519302425,14706
2020-03-03,3100.609619140625,3164.6781320916625,3083.7639383507058,3139.7319974629845,17842
2020-03-04,3059.55419921875,3135.3135829438716,3053.4327872564454,3115.89038189188,21675
2020-03-05,3077.412109375,3127.902851044616,3036.310467945623,3068.759025777176,51392
2020-03-06,2905.871826171875,3074.5122242605466,2873.6073296499467,2968.7438266837344,52501
2020-03-09,2653.69384765625,2897.8174312914125,2622.6721494543667,2897.8174312914125,90244
2020-03-11,2798.07861328125,2837.753399969447,2669.619304963344,2693.2767938343313,121794
2020-03-12,2679.284912109375,2770.094774702147,2614.2956418224135,2629.0240679735257,226971
2020-03-13,2719.6494140625,2830.618926181185,2278.210895602662,2485.5136387022594,53783
2020-03-16,2523.117431640625,2691.527734324993,2416.382413412891,2660.321971338383,77837
2020-03-17,2445.930908203125,2557.912860401662,2439.1188776637678,2533.2887779848397,362881
2020-03-18,2337.262939453125,2559.0176914422764,2298.2324795962772,2476.2163747149143,171989
2020-03-19,2117.763427734375,2273.3782580551892,1969.9267769172827,2154.2161435299035,407407
2020-03-20,2100.08935546875,2226.984040806822,2035.1003104909278,2118.684173111457,93449
2020-03-23,1680.0989990234375,2024.1456732119825,1680.0989990234375,1933.105690356549,119719
2020-03-24,1404.6776123046875,1781.6332796888141,1344.1070254797355,1751.301971180222,436901
2020-03-25,1467.779541015625,1545.1037689524783,1394.1374191710029,1403.8029476631095,152056
2020-03-26,1614.557373046875,1614.557373046875,1477.4449989344641,1500.4581609116365,63137
2020-03-27,1749.00048828125,1775.971961811279,1656.9478310032894,1753.603121145148,79150
2020-03-30,1694.873291015625,1748.0797659103462,1629.3318513224397,1666.1529101093874,52133
2020-03-31,1655.613037109375,1753.6030413767817,1638.3991235600477,1724.1461923877755,43449
2020-04-01,1615.10986328125,1674.4377530129877,1588.3685227179278,1674.4377530129877,30051
2020-04-03,1771.6453857421875,1776.6162516142795,1564.8951439089508,1638.5372683281955,47262
2020-04-07,1821.6300048828125,1860.1079470954217,1778.5953888448005,1822.642561609914,26401
2020-04-08,1863.8359375,1909.0338762808265,1772.0134237251511,1866.7815772048455,25453
2020-04-09,1919.666015625,1943.1394431164954,1869.5894602049825,1891.4519662019636,29635
2020-04-13,1947.7418212890625,1979.131863058784,1883.3971124736147,1923.9002761827246,35584
2020-04-15,1922.5196533203125,1983.6885961453568,1758.205668107157,1983.6885961453568,34275
2020-04-16,1905.5821533203125,1923.9005422726152,1873.2715806338622,1900.8873778913637,17477
2020-04-17,1942.403076171875,1979.0859227058968,1905.4898732727293,1979.0859227058968,50515
2020-04-20,1946.6373291015625,1976.3703797623846,1915.293357078568,1976.3703797623846,15436
2020-04-21,1818.54638671875,1938.6290378730312,1772.013721702557,1915.6158726561148,42784
2020-04-22,1797.2818603515625,1828.1655683495608,1758.6658199052547,1828.1655683495608,21968
