Price,Close,High,Low,Open,Volume
Ticker,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS
Date,,,,,
2020-01-01,14113.7421875,14349.113173233878,14081.608598718281,14219.793400516743,10221
2020-01-02,14231.0595703125,14266.287041081798,14035.44097245588,14147.124480805589,12982
2020-01-03,14010.41796875,14279.122799332381,13970.804421688801,14206.26741755996,12150
2020-01-06,13683.4443359375,14007.737017306259,13629.241508066569,13989.223346158544,10161
2020-01-07,13691.9404296875,13850.71651756799,13571.715630783236,13712.300870223478,12015
2020-01-08,13414.37109375,13615.483978757962,13394.333477596969,13612.528969166427,10878
2020-01-09,13739.86328125,13790.741383911209,13490.641554666405,13582.979963664808,10637
2020-01-10,13718.8125,13928.790450167515,13604.682561406946,13740.881745430263,12854
2020-01-13,13658.052734375,13795.36014724661,13622.271596108212,13781.509384046563,6553
2020-01-14,13973.84765625,14034.5141686519,13613.958722949646,13697.478990577161,16359
2020-01-15,13813.50390625,14081.608130516712,13667.932035928417,13970.940902069875,12863
2020-01-16,13689.4013671875,13923.80208148494,13667.932684919942,13887.69812060505,14103
2020-01-17,14208.2529296875,14266.241282714751,13720.29032159358,13772.276676739584,33609
2020-01-20,13823.384765625,14358.624795967133,13776.892730278432,14293.987899779499,17559
2020-01-21,13791.205078125,13970.80330970046,13749.191095931254,13786.080476030069,14888
2020-01-22,13539.166015625,13931.881112165445,13482.33190184576,13832.248503960163,15276
2020-01-23,13826.5244140625,14035.440093079556,13529.425542355373,13582.058442704421,21615
2020-01-24,13871.4921875,14074.17500525408,13783.078156520714,13896.839262369418,10465
2020-01-27,13741.6630859375,13941.853476977922,13703.019822673567,13795.266253470547,6658
2020-01-28,13564.099609375,13896.933659325072,13527.71880914624,13751.962324805867,19596
2020-01-29,13608.419921875,13746.37387480892,13541.84428524739,13564.513185818723,14115
2020-01-30,13148.943359375,13573.746026614577,13070.50170113805,13543.274351860951,29296
2020-01-31,12821.8369140625,13250.56404277754,12779.638073312972,13250.472065049129,24677
2020-02-03,12576.03125,12832.224379451785,12468.272132328198,12558.025257902273,13218
2020-02-04,12939.61328125,13019.716858375108,12605.117364090682,12668.830872121027,16428
2020-02-05,12736.8857421875,13333.668813513075,12516.473737338625,13042.802769450982,73277
2020-02-06,13030.0146484375,13110.948740807467,12763.479411124763,12815.650623765641,21721
2020-02-07,13106.560546875,13158.224070151535,12846.720789440353,13111.36232477889,20872
2020-02-10,13003.6962890625,13125.628986925212,12904.293623636797,13106.560743342543,8908
2020-02-11,13111.59375,13162.84157232649,13024.333944417056,13093.587758371774,14836
2020-02-12,13277.8017578125,13335.6052421755,13029.827136390344,13166.533972992695,12694
2020-02-13,13558.0048828125,13595.863636864036,13166.351094531146,13277.803753270378,15744
2020-02-14,13495.3525390625,13638.385117409209,13416.772901554217,13574.625616487745,12034
2020-02-17,13731.1845703125,13804.593613272713,13481.40914741014,13481.40914741014,14321
2020-02-18,13437.91796875,13757.50087215486,13329.05061343415,13731.276400794839,20019
2020-02-19,13501.494140625,13645.450111048825,13296.733675859592,13555.281275112417,10379
2020-02-20,13437.962890625,13527.392280493452,13325.540875846129,13400.196120035223,13302
2020-02-24,12982.2744140625,13426.46821143919,12928.302426213686,13328.6814621317,11390
2020-02-25,12739.7919921875,13019.71625230907,12715.045477815262,13019.71625230907,8883
2020-02-26,12272.375,12774.787917904578,12209.030310981727,12696.531117019675,14261
2020-02-27,12160.138671875,12270.852799648324,11835.938835570187,12262.542341736003,23014
2020-02-28,11199.21875,11877.582379330406,11089.843716345857,11795.309211707074,35280
2020-03-02,11495.1181640625,11817.42524534073,11366.582900435298,11422.816458324298,34896
2020-03-03,12147.671875,12273.944654518345,11653.107696683936,11653.107696683936,37746
