Price,Close,High,Low,Open,Volume
Ticker,MAZDOCK.NS,MAZDOCK.NS,MAZDOCK.NS,MAZDOCK.NS,MAZDOCK.NS
Date,,,,,
2020-10-12,77.88131713867188,98.26316845266263,77.88131713867188,97.33466051057029,79857954
2020-10-13,82.18415069580078,83.65617325988791,74.28052323393494,77.90396339168787,37715848
2020-10-14,82.54650115966797,84.87908813990627,80.666844226945,81.73122569190758,12355782
2020-10-15,77.83602905273438,82.77296365540373,77.45103575963905,82.41061824622527,6386916
2020-10-16,76.1148910522461,79.46657042737064,74.73345311247967,78.6965907775354,6144884
2020-10-19,76.2281265258789,78.28895957420549,75.86578111444281,77.33780373308126,3844768
2020-10-20,75.20903015136719,76.90751770261232,74.91462149578658,75.95636190944963,2523362
2020-10-21,77.74542999267578,80.48565781347936,75.39019542770694,75.59401254090521,8955302
2020-10-22,77.29251098632812,79.21746371671708,75.95636870864392,78.03984972247174,4004374
2020-10-23,79.44393157958984,81.07448259741138,78.08514136846004,78.87776899161909,7146720
2020-10-26,77.36045837402344,79.69304550128903,76.99811293093906,79.69304550128903,1854742
2020-10-27,76.47724151611328,77.70015126582864,75.84313530099726,77.40574258736488,1549688
2020-10-28,75.7525405883789,77.54161266099887,75.63930809123633,76.97545017528601,1863504
2020-10-29,75.63932037353516,76.54518049776911,75.27697494160873,75.70725711838699,1811578
2020-10-30,75.52606964111328,76.86221161984798,74.73344222359036,75.86576710576597,1907152
2020-11-02,76.25076293945312,78.13041954372099,74.8693251536939,75.52607222559695,2417362
2020-11-03,75.45813751220703,76.97544880011266,75.20902464071116,76.63575131475368,1220048
2020-11-04,75.0958023071289,76.04695124814032,74.77875266012511,75.4128519541327,1438208
2020-11-05,76.65841674804688,77.9945591141551,75.39021113010033,75.52609153758827,3004132
2020-11-06,77.02074432373047,78.80981635883934,76.5451664634704,76.79427933419358,3989116
2020-11-09,81.27828979492188,82.41061483221854,77.6322017925939,77.90396256601053,12995598
2020-11-10,78.08513641357422,81.18770996324614,77.33780460934047,81.18770996324614,4759910
2020-11-11,79.0136489868164,79.87422026278527,77.9039717023587,78.35690177039568,3276260
2020-11-12,79.73833465576172,80.62154684855524,78.13043163694257,79.0815874822057,2847644
2020-11-13,82.9541244506836,83.5655826983072,80.3950727856343,81.25563699746597,13012488
2020-11-14,85.26406860351562,86.41904143296716,83.33911619148407,83.74675040839024,5909582
2020-11-17,83.29383850097656,87.32492033806373,82.09357655987726,86.69081408276459,7601208
2020-11-18,83.0673599243164,84.4714457004242,82.88619068727951,83.33912069103513,3381334
2020-11-19,83.5882339477539,84.6979110796666,82.25209181295442,82.97677567549415,4326668
2020-11-20,83.54293823242188,85.51318652317484,83.24853649295922,84.13174862251063,5393566
2020-11-23,82.52384948730469,84.22233708752843,81.86710233078425,83.79205494437116,2986602
2020-11-24,82.16149139404297,84.01850698127475,81.93502641565678,82.77294960015074,2956224
2020-11-25,81.43682098388672,83.04472397671942,81.16506020072825,82.79561107735147,2955666
2020-11-26,81.18770599365234,82.18415065429848,80.78007174057645,81.73122063480808,2219270
2020-11-27,81.0744857788086,82.72767783608938,80.66685146393968,81.41418334492093,3827906
2020-12-01,82.43326568603516,83.11266073289808,81.68593389895146,81.73122275537737,2619566
2020-12-02,81.9350357055664,82.88619148709684,81.5274014627182,82.79560686770428,1595644
2020-12-03,83.67881774902344,85.03760775306712,82.29737986267969,82.34267562727982,5058866
2020-12-04,82.61444854736328,84.17706294156832,82.38798349442516,83.79206958710753,2080358
2020-12-07,86.66815948486328,87.95900585634203,82.75031078299699,82.79560654810014,8643060
2020-12-08,85.46790313720703,88.45724437453079,84.74321916927344,87.18903879169149,4763218
2020-12-09,88.72899627685547,90.08778646125549,85.96612704860733,86.758754656174,10666508
2020-12-10,86.87197875976562,89.11398096470073,86.05670334583552,88.52517055957544,2859860
2020-12-11,85.49053192138672,88.1401750129518,85.15083444355339,87.18901931055335,3220416
2020-12-14,87.93634796142578,88.45722155615208,85.62640933860473,85.76228970727952,3285710
2020-12-15,86.53228759765625,87.86842986543913,86.05670966202801,87.86842986543913,2070352
2020-12-16,99.78048706054688,103.22275114423984,86.73610080525263,86.84933331283129,40839156
2020-12-17,93.9150390625,101.41102509726582,92.85065078899012,98.76138872144877,18276524
2020-12-18,100.5278091430664,102.22629659280676,91.71832228597907,94.57178258377549,30277348
2020-12-21,92.6921157836914,101.79601096358752,88.77427429972482,100.09752357264891,8636930
2020-12-22,94.66238403320312,95.88529383226044,88.79694104591456,92.87331165021517,6010174
2020-12-23,97.19879150390625,98.73875090959018,94.66238045919425,95.00207799672725,3324708
2020-12-24,96.20233917236328,98.82933482594076,95.18324656710027,97.71965759355385,2107604
2020-12-28,97.7423095703125,98.69345856168141,96.49675188950982,97.08556235721305,2816894
2020-12-29,96.27027893066406,98.64816158006074,95.65882062778228,98.64816158006074,2008236
2020-12-30,100.16546630859375,102.22629918204241,95.47764497527291,96.92701958686249,9124316
2020-12-31,98.94256591796875,101.43368113953481,98.46698799343697,100.05224313443357,3360554
2021-01-01,103.1095199584961,106.3706217474989,98.82933249938475,99.16903002647555,16395826
2021-01-04,102.95098876953125,104.9438779738478,101.45631841071221,103.72096837523705,4298892
2021-01-05,102.06778717041016,104.6041912450266,101.27515960124929,102.81511897115341,2990746
2021-01-06,99.32755279541016,102.83776038069117,97.83288237686425,102.58864749240627,3440176
2021-01-07,99.78048706054688,101.70543968938408,99.03314836382945,100.16547343961604,3037082
2021-01-08,100.41458129882812,102.81511172124856,99.68989743339405,100.82222245235053,2397090
2021-01-11,99.05580139160156,101.3204516607793,98.58022345284141,101.00340200532725,1482752
2021-01-12,99.1916732788086,101.41102758770464,98.28581324886514,98.71609538085556,2352184
2021-01-13,98.39905548095703,100.68635366493365,97.37996284651675,99.50873274511473,1918722
2021-01-14,99.62196350097656,101.8413249012678,97.42525689666996,98.89727956486924,3561090
2021-01-15,98.39905548095703,100.48253652027844,97.83289290626799,99.66726103049336,1351446
2021-01-18,96.0438232421875,98.42170612247405,95.5682452838973,98.30847360436516,1334474
2021-01-19,97.22142791748047,98.24052048228074,96.47409613442578,96.70056114882584,975382
2021-01-20,98.14994812011719,99.35021699307913,96.406171438094,97.22144006285049,1652160
2021-01-21,95.09265899658203,99.10109255100951,93.84710140648086,98.62551463437448,1444844
2021-01-22,94.95677947998047,97.13084503952467,94.43591270196517,95.93058320609954,1104992
2021-01-25,94.45857238769531,96.33822951137455,92.73743665005236,95.84001055519157,1063926
2021-01-27,92.4883041381836,96.02115950209719,90.99363376370131,95.00206700738154,1247952
2021-01-28,93.5753402709961,94.63972161868507,91.01628163779328,91.01628163779328,1697916
2021-01-29,95.50031280517578,98.17259758749759,94.36798757348608,94.88885441559745,2630004
2021-02-01,98.19522857666016,99.19167322684322,94.84354232092714,96.88172738723213,2232290
2021-02-02,97.69700622558594,99.39549384046457,97.42525235390363,99.03314843372436,1057186
2021-02-03,97.87818145751953,98.96521075628092,97.4705402871112,98.03670282004188,837142
2021-02-04,99.3501968383789,101.00338855018343,97.62906148085166,97.96875897597559,2292114
2021-02-05,99.23697662353516,100.9581052829401,98.28582075498898,100.16547769620631,1144142
2021-02-08,100.12017059326172,101.6374818361001,99.68988850681988,99.98429022092145,1501690
2021-02-09,99.6672592163086,102.36219164054135,99.05580088230874,100.34665429356883,2136254
2021-02-10,101.88660430908203,103.26804222102581,99.23696789879327,100.12018003555619,3523514
2021-02-11,104.98918151855469,109.88082718669027,101.79602344969092,102.36218598278153,10919850
2021-02-12,101.63749694824219,106.3479734523922,101.00339766458923,105.51005012434149,2696570
2021-02-15,98.2178726196289,101.41102356973403,97.74229474051859,100.55045933984928,2351660
2021-02-16,99.59931945800781,101.22987047168188,98.55758582772292,100.09754529862056,1914060
2021-02-17,97.24406433105469,100.45986992069146,97.01759934336654,100.21075705200191,2617792
2021-02-18,98.98786163330078,99.82577806067918,96.51939429730744,97.9234732747377,3884232
2021-02-19,98.8746337890625,100.55047363406405,97.15349817345378,98.98786630441617,2914704
2021-02-22,96.64995574951172,101.15502181544764,95.48885588268332,99.8545885472416,2160878
2021-02-23,100.11003875732422,101.10858187612612,96.37129551400103,97.09117889784949,2361918
2021-02-24,101.20146942138672,103.05922935265984,100.55125628015782,100.99247284647684,1813878
2021-02-25,101.89812469482422,103.29144457900207,101.24791158359112,101.71235154498373,2250578
2021-02-26,99.01860809326172,100.99247812337492,98.32194808263353,99.94748810743263,1775440
