Price,Close,High,Low,Open,Volume
Ticker,NAUKRI.NS,NAUKRI.NS,NAUKRI.NS,NAUKRI.NS,NAUKRI.NS
Date,,,,,
2020-01-01,502.1135559082031,506.88888454063886,495.1462848987708,495.79213146263055,303145
2020-01-02,496.1640625,501.88858668952054,493.4143390446695,499.0605625011172,940085
2020-01-03,502.4756774902344,504.9318477788,495.74324807510703,496.1640473107867,625645
2020-01-06,493.159912109375,502.47569863216967,489.4903491077465,502.47569863216967,414525
2020-01-07,497.0251770019531,504.54040469555986,493.58066155795046,493.58066155795046,578670
2020-01-08,499.00177001953125,499.8433086526372,493.9328883834018,494.1677308181337,445030
2020-01-09,500.78277587890625,502.9747184029532,496.1248681523293,501.056738831435,414765
2020-01-10,498.82568359375,502.4756561719658,493.3849476987937,499.45194009769165,679170
2020-01-13,495.0191650390625,502.5833386693298,484.96946563886286,501.9277267848986,3977580
2020-01-14,498.2483825683594,499.45198011531573,490.3710361082365,491.0364430291695,769115
2020-01-15,493.56109619140625,500.6262289930554,487.99314382389565,497.10344271773556,736480
2020-01-16,505.09814453125,512.7602078721484,483.40370742145285,496.47712128793387,1626790
2020-01-17,508.93414306640625,511.7816975515643,500.03909646051505,500.03909646051505,777875
2020-01-20,507.2216491699219,512.760216064018,502.8083789755083,509.82456597204845,278655
2020-01-21,502.5637512207031,523.5242765608632,494.17757012811825,508.84602581616605,1363470
2020-01-22,495.4985046386719,503.83576875778584,490.1947809937535,502.93551958829613,1216085
2020-01-23,507.1824951171875,509.62887032007376,495.2148467369742,496.8685987631636,796495
2020-01-24,529.992431640625,539.6605100625251,508.3762963835058,509.61901422407607,4057170
2020-01-27,528.4170532226562,538.2025542082611,522.7610049845168,529.9827094899698,1105545
2020-01-28,541.2067260742188,548.9862115314643,528.6127907139145,528.6127907139145,2280180
2020-01-29,554.4171142578125,557.7441486238176,544.0738329640255,544.0738329640255,1264205
2020-01-30,552.792724609375,563.6448717706311,545.0524194031971,556.7950208984186,994685
2020-01-31,557.313720703125,574.4089639252485,552.8906547135726,556.237279654058,1228710
2020-02-03,550.160400390625,572.3049936031349,523.641716964475,523.7395480826401,2464880
2020-02-04,579.64404296875,585.7795703096463,547.9488552625274,547.9488552625274,2271985
2020-02-05,584.6444702148438,591.8269933470912,574.4088163137714,582.8830325373816,1396735
2020-02-06,601.0841064453125,605.7615441846315,579.3015748353841,583.215774665353,1244705
2020-02-07,602.4541625976562,612.5723974873334,594.9584946841833,604.8222969772166,504400
2020-02-10,589.821044921875,612.1808897605925,583.215832058793,606.2117583228562,685100
2020-02-11,587.0029296875,598.481304929436,579.5072611030278,593.5005176374345,3727040
2020-02-12,578.469970703125,596.7101009158742,574.0175195425045,589.8602495622598,1493880
2020-02-13,560.6602172851562,575.3775873333614,553.7907773831034,574.995938510814,1314640
2020-02-14,557.802978515625,580.6716910645803,551.9022923597004,560.6603282705299,975335
2020-02-17,551.823974609375,557.7735761448557,542.5082179512754,555.0336477160029,662700
2020-02-18,546.1412963867188,570.4297404435464,539.0869672967945,551.7945668893686,1261390
2020-02-19,558.4569702148438,568.4897673153107,550.3935128976099,554.9396427713176,1128525
2020-02-20,556.5953979492188,566.3048545235193,553.5678941276617,559.4562984633143,679240
2020-02-24,530.8668212890625,556.4190847913163,528.0058604740854,556.4190847913163,1130485
2020-02-25,519.19775390625,550.6286743385238,515.5628591146783,541.0269763189933,1632140
2020-02-26,511.496826171875,528.681906687652,499.6808462007819,519.0704010380329,1401145
2020-02-27,503.0511779785156,522.2154031388455,500.66054597363996,507.71487482410794,1302515
2020-02-28,508.1753234863281,519.2760913916386,455.25817080695214,488.9033388762786,2511040
2020-03-02,526.1834106445312,538.871394530327,514.9650760165455,518.8841407040387,2311025
2020-03-03,546.4745483398438,549.6489820908392,531.9152331484514,532.052355004209,1849855
2020-03-04,520.12841796875,549.1686991476838,517.316494082279,544.7499445260362,2004170
2020-03-05,529.9065551757812,536.5199773980185,501.27781390449695,514.4360675350889,1786715
2020-03-06,518.9429931640625,523.1952052264884,499.6808139803541,509.28251177915445,1228040
2020-03-09,495.89886474609375,509.1257080707068,493.80215078555597,504.57957867968514,1217475
2020-03-11,499.328125,510.9481392804884,483.12278158732266,490.8629295868163,1706985
2020-03-12,463.26287841796875,485.7681111336625,460.49015299322116,485.5721758171261,1925860
2020-03-13,449.2130432128906,460.4901629414662,417.68417072198486,417.7723461013453,2627740
2020-03-16,427.756103515625,445.2253508642653,425.73778762129155,437.1716718460672,1286045
2020-03-17,411.8741455078125,431.08734753046116,405.4664657900191,427.3740549300181,1973615
2020-03-18,388.7418212890625,425.1205447870208,386.02787970088355,411.7663268042167,1709855
2020-03-19,387.5857238769531,405.5840249488279,340.95865203318476,358.79040958806087,2049865
2020-03-20,382.42236328125,406.0151210183582,363.81658218253847,382.20681351396337,1977930
2020-03-23,331.4059753417969,362.2000252389227,309.8217233618073,352.7158939336197,2703775
2020-03-24,347.3957214355469,364.4730397510877,328.0943146284764,328.41765423037197,1781120
2020-03-25,358.2613220214844,364.3750537076934,333.1205170578705,342.9181793242784,2446155
2020-03-26,397.45196533203125,429.9116247346413,363.5912474216343,377.9937928046504,2077405
2020-03-27,401.7923278808594,430.3133382570154,387.9874253497347,421.1035118160135,2412385
2020-03-30,420.4764404296875,423.25897268059543,372.3111333764497,391.9260407445135,2560965
2020-03-31,398.7746276855469,424.679646915045,395.4238143183039,423.650874524183,4162870
2020-04-01,394.6401062011719,411.61944430851486,388.2520103058904,401.31231281687656,1676310
2020-04-03,393.2096252441406,402.50762845418154,378.3857851395936,397.393246792105,1554220
2020-04-07,462.0773620605469,471.8456329385834,401.70416947175767,401.70416947175767,1427635
2020-04-08,441.64923095703125,471.0422190698869,431.48905951670247,452.6520169379773,1868660
2020-04-09,439.3173828125,458.63834366223836,432.0768962087939,448.7329216862304,1047865
2020-04-13,423.5137939453125,462.43011290253787,419.43796251523963,435.4081413786637,1603490
2020-04-15,462.8318176269531,473.8149894973359,428.35383907701674,434.03647166702115,3459030
2020-04-16,460.18646240234375,474.20691657263865,455.78732102944247,464.46803659647384,2895595
2020-04-17,487.2475280761719,494.58596736942957,472.2473098985791,472.2473098985791,2583280
2020-04-20,479.0762939453125,498.86758372103554,464.21322710293725,488.9033480211569,3098430
2020-04-21,467.7698059082031,482.24097293872734,463.03754795183676,470.2976196439766,1135000
2020-04-22,489.2266845703125,491.34298332802905,464.4092177964307,464.4092177964307,1631380
2020-04-23,482.6034851074219,500.8565357404776,472.24734832193286,491.8622585400673,2139875
2020-04-24,456.0028381347656,481.0554393518783,451.2803574586841,474.20688257853664,1363495
2020-04-27,455.1504211425781,471.24800412039224,451.1137887844497,462.49866836735396,968835
2020-04-28,468.7691650390625,473.73655710464766,448.5957520368418,464.4091933524048,1563715
2020-04-29,477.09716796875,489.8341287000638,471.35572242950997,474.35380464041185,2438400
2020-04-30,499.2105407714844,505.0695543188885,474.0109490088815,484.4846537009259,1671435
2020-05-04,490.0301208496094,499.20074918807245,482.2703883094667,487.5317286840541,1403110
2020-05-05,507.8226013183594,521.0396373872134,494.92887492965315,496.77084011376695,2981630
2020-05-06,518.6588745117188,524.1749634909753,506.14723989195795,511.0754930191505,2413095
2020-05-07,508.16558837890625,525.1547631866176,501.64037080512725,521.2160833266564,1791035
2020-05-08,528.6719970703125,537.3330955926351,506.2059085865498,511.04595533732123,2819360
2020-05-11,503.7860412597656,532.7283165250102,499.7004025916008,525.0763440369983,1992030
2020-05-12,494.87017822265625,514.1520025623499,489.8831711285788,503.59989992017904,1610695
2020-05-13,512.6430053710938,519.2760411077153,504.5795493782516,519.0800759246201,1577950
2020-05-14,528.2506713867188,531.523116517541,505.00084065187934,511.6926599504265,1570995
2020-05-15,507.84228515625,528.8778390015193,504.58945385056376,528.8778390015193,1432765
2020-05-18,471.0519714355469,507.5188689694728,432.0768749334701,507.5188689694728,5052560
2020-05-19,482.5544738769531,492.2835756891528,473.22710972467445,480.0658890723071,4099280
2020-05-20,469.709716796875,481.28075320880725,453.88649867159063,478.13571208374174,3856915
2020-05-21,481.2709655761719,487.923586706709,471.26756065447194,472.64903463858036,1792645
2020-05-22,474.85357666015625,479.7132095261884,463.6254623329576,472.2473945049596,1266155
2020-05-26,469.3276062011719,481.4473395170314,465.78085725170155,474.89270108164965,1205290
2020-05-27,476.53875732421875,478.2043421624793,457.5508808673773,470.0330944733304,1717560
2020-05-28,503.7761535644531,507.12693706493263,476.9893505192915,481.5060880343803,2936485
2020-05-29,525.8992919921875,544.749983284582,494.9876517992043,503.7761554233782,3024390
2020-06-01,525.4584350585938,539.8903727826474,510.6639886061149,530.0829628539258,2145880
2020-06-02,509.9781494140625,529.9947670810872,505.5593939800442,526.7321286665821,1762985
2020-06-03,503.7860412597656,518.7274774851556,496.26144317605093,514.9651485432034,3251840
2020-06-04,492.62646484375,505.42220984048055,486.5911309786021,497.7212613689817,3977630
2020-06-05,489.9027404785156,497.90744440222994,484.5728093501385,497.80946179102773,2402230
2020-06-08,521.8136596679688,525.1350213380231,493.8021202263821,495.56568726715506,3194440
2020-06-09,529.6910400390625,533.5611287415253,517.3165873419254,526.1736528395606,7599615
2020-06-10,538.2443237304688,544.5246583091279,526.5263587197337,532.9927914607664,3651155
2020-06-11,536.9315185546875,542.7806943532244,525.1547091135079,539.8512028386994,2305475
2020-06-12,552.6860961914062,557.4379981990483,519.2760922869779,519.2760922869779,3598360
2020-06-15,545.994384765625,550.5209002845305,539.8708453947908,548.639705933674,2163720
2020-06-16,551.3046264648438,563.3655455790595,541.2228541424594,556.4973751857972,2591085
2020-06-17,548.45361328125,553.5679647113059,541.4286457879805,549.6685139366568,2191895
2020-06-18,540.615478515625,548.4731635890882,536.5984007995853,546.3176657658705,1315525
