Price,Close,High,Low,Open,Volume
Ticker,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS
Date,,,,,
2020-01-01,19818.1484375,19983.072531363334,19786.109971651615,19871.887492143487,4879
2020-01-02,20707.875,20754.44593196206,19818.247905110737,19818.247905110737,31788
2020-01-03,20600.689453125,20870.556284423325,20432.692731265313,20676.519613499982,19053
2020-01-06,20544.267578125,20695.975516029845,20082.947133001955,20603.176531800964,25717
2020-01-07,21420.822265625,21505.52732902314,20433.664538338497,20576.20609025384,83884
2020-01-08,21887.1640625,22131.331859491143,21174.214439586194,21309.48879759748,68506
2020-01-09,22251.201171875,22392.912200316732,21775.933093236483,21965.67991811357,40252
2020-01-10,22768.94140625,22831.458228647658,22162.54403963979,22301.866318604483,41458
2020-01-13,23240.794921875,23663.933571983885,22653.515080030655,22695.4037719611,55253
2020-01-14,22978.240234375,23232.014434597164,22846.329920635646,23085.52403852531,22816
2020-01-15,23142.630859375,23212.3158102161,22774.890447153834,23085.525849908197,24055
2020-01-16,22715.740234375,23504.91067651216,22496.101748020683,23163.553052579413,59132
2020-01-17,22749.923828125,23062.509857594825,22632.00877955458,22758.79874470615,32537
2020-01-20,22561.884765625,22928.30892361889,22471.034494167972,22757.04340863433,26423
2020-01-21,22386.716796875,22820.922858187925,22267.778829952465,22588.214910253053,29652
2020-01-22,22448.35546875,22724.611270074616,22321.858869961092,22393.05630507741,28102
2020-01-23,22509.1640625,22627.126704632872,22345.36007774969,22448.352135563822,15181
2020-01-24,22563.390625,22726.607900537452,22305.275198922474,22442.89066099374,31218
2020-01-27,23015.740234375,23179.153737591667,22393.202715750325,22529.501913546694,35307
2020-01-28,22863.15625,23397.62470938913,22786.15649212539,22978.24252410204,13422
2020-01-29,22925.771484375,23192.811429232348,22633.082096224425,22957.859480830582,13788
2020-01-30,22905.388671875,23065.045738466397,22704.37628378959,22848.8208401345,18380
2020-01-31,22438.798828125,23098.203739910572,22263.97498737936,23043.879883015696,26041
2020-02-03,22692.96484375,22777.328933531215,21856.688278738948,21862.5877455483,19173
2020-02-04,23880.791015625,24050.39734510292,22727.781521249595,22822.192034874097,46295
2020-02-05,24278.767578125,24665.526526886544,23809.25607436233,23809.25607436233,65213
2020-02-06,24395.072265625,24650.846648297957,24139.103583418015,24429.50138109532,35930
2020-02-07,24302.853515625,24728.916120536196,24090.089851202683,24402.237708581633,15201
2020-02-10,24345.28515625,24528.252464659654,24207.620119847907,24382.687818383904,33336
2020-02-11,24200.740234375,24617.196487150595,24084.533883542877,24431.449957912504,9352
2020-02-12,24080.291015625,24525.080732813374,23837.488991914885,24364.15500622011,15946
2020-02-13,24008.263671875,24278.52096652435,23852.410695125567,24090.092342227435,15155
2020-02-14,23830.26953125,24297.88178795863,23581.615681767136,24138.857160945525,44419
2020-02-17,23434.734375,23841.875663551436,23363.487411604372,23719.47459195234,14630
2020-02-18,23190.126953125,23407.376667823235,22725.39299553259,23407.376667823235,39818
2020-02-19,23927.458984375,24577.648008601194,23716.354470955837,24236.387586712674,156489
2020-02-20,23804.71875,24179.480626860957,23671.34546005664,23797.501094098556,32057
2020-02-24,23348.357421875,24077.76091914372,23203.800496082822,23611.315358194897,29338
2020-02-25,23094.076171875,23512.36806640876,23001.98222636717,23348.362082874628,38362
2020-02-26,22989.34375,23118.81450583154,22683.620472791496,23012.562415867484,34970
2020-02-27,23329.703125,23442.126336531866,22667.655323756797,23071.496369184253,80008
2020-02-28,22211.24609375,23247.842579202494,22008.443471899314,22925.51377442532,91009
2020-03-02,22574.7734375,22952.89669813976,22338.023033045407,22347.47774105438,58063
