Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2020-01-01,1866.1138916015625,1880.1465962460331,1854.4053983278686,1866.4581725045587,1354908
2020-01-02,1857.5478515625,1876.746243176184,1850.273182660898,1876.746243176184,2380752
2020-01-03,1894.567138671875,1913.808618436803,1863.0147774616473,1863.0147774616473,4655761
2020-01-06,1894.3946533203125,1916.3479195756715,1883.5901606363286,1898.3118467869285,3023209
2020-01-07,1899.044189453125,1906.620052372312,1880.0610241198594,1894.4382228564357,2429317
2020-01-08,1941.57275390625,1945.6620879406387,1895.7722547578385,1898.311904384561,5197454
2020-01-09,1906.3616943359375,1938.7318784954782,1902.61664085624,1935.9770005092626,3734173
2020-01-10,1905.6727294921875,1923.2783464459674,1900.8946235240358,1918.1128719255216,1915807
2020-01-13,1885.6995849609375,1910.3215538243012,1880.8353037248214,1909.3746762816877,2843893
2020-01-14,1899.947509765625,1919.662530025515,1889.702736180538,1889.702736180538,2948452
2020-01-15,1917.1658935546875,1920.6957187518296,1889.0140978490783,1905.1992943064988,2620681
2020-01-16,1927.4110107421875,1936.1922764956857,1906.9212505282098,1917.2091132065045,3117214
2020-01-17,1910.451171875,1940.1095679324185,1905.199521114296,1929.0898449782462,3281059
2020-01-20,1868.4818115234375,1930.3382579094582,1856.2997716926293,1889.6170484534528,5817599
2020-01-21,1869.0843505859375,1882.4284959453314,1857.8924867361231,1868.137262648226,1902980
2020-01-22,1899.947509765625,1902.6164223047788,1871.365259847378,1877.6499624645803,1773686
2020-01-23,1890.4996337890625,1913.6245264722568,1884.2438439944851,1906.7647715193734,2069866
2020-01-24,1883.9844970703125,1890.4991877273208,1872.4221587873521,1890.4991877273208,1319430
2020-01-27,1871.775390625,1892.6567427318766,1868.1082036202029,1889.4209894923497,1549101
2020-01-28,1884.28662109375,1887.7812760778884,1856.8905820692617,1875.8736642279623,1743024
2020-01-29,1859.1339111328125,1887.0475410247352,1855.1646374116426,1885.3649919741576,2306761
2020-01-30,1844.68115234375,1868.1079179511214,1833.5932220074517,1863.7935809581627,2098567
2020-01-31,1793.9444580078125,1850.2897397237982,1787.5161381966818,1846.0183776890453,3287223
2020-02-03,1814.1785888671875,1893.7349157687884,1806.1538804441655,1856.8905223506242,4728073
2020-02-04,1818.708740234375,1843.6887090284197,1800.4591792106855,1837.0446722614088,3509339
2020-02-05,1852.187744140625,1860.9457624945792,1815.731602699775,1824.9642401750903,2439322
2020-02-06,1836.48388671875,1876.0462300017393,1825.3959565354344,1850.8505444426883,2640065
2020-02-07,1843.559326171875,1856.0277175677377,1828.4159616578504,1845.6733091015299,2083442
2020-02-10,1865.4766845703125,1869.8342083602145,1828.4165609207635,1847.3132783005938,2383032
2020-02-11,1858.0985107421875,1876.563998861233,1853.0940485237627,1866.382121760579,1335820
2020-02-12,1873.069580078125,1885.3654416541303,1855.1650798885034,1856.1143183798254,1620407
2020-02-13,1891.3619384765625,1895.7194604792237,1873.2849106510673,1874.9674597559865,1645948
2020-02-14,1884.6744384765625,1908.6621880352313,1873.2846339170376,1887.9533758684838,1500115
2020-02-17,1901.1121826171875,1912.9766067683215,1889.8517233815594,1895.6760770557526,1774724
